id,title,icon,minIcon,bagType,bindType,diamondPrice,attrId,color,suitPartId,broadcast,level,career,model,a_fx_1,a_fx_2,a_fx_3,a_fx_4,reward,buffs,isShow,propType,useVip,k_useType_1,v_useType_1,k_useType_2,v_useType_2,k_useType_3,v_useType_3,k_useType_4,v_useType_4,goldPrice,diamondReplace,isflash,cdGroup,dailyTimes,interval,limType,morphIds,des,way,addTime,weapon,legend,endRow
*int,string,string,string,!eItemBagType,,int,int,!eItemColor,,int,int,!eCareer,int,int[],-,int,-,int,int[],int,,,,,,,,,,,int,,int,int,int,int,,,string,string,,int[],,
&int,string,string,string,short,short,int,int,short,int,short,short,short,int,int,int,int,int,int,string,short,int,short,string,string,string,string,string,string,string,string,int,float,short,int,int,int,short,json,string,string,int,string,short,
1,金币,Cur_gold,Cur_gold_s,5,0,,,0,,,,,,107,,,,,,,,,,,,,,,,,,0.002,,,,,,,具有多种用途的货币,通过各类副本和任务获得,,,,
2,绑定钻石,Cur_diamond,Cur_diamond_lock,5,1,,,0,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,珍贵货币，具有非常广大的用途,通过游戏内活动获得,,,,
3,钻石,Cur_diamond,Cur_diamond_s,5,2,,,0,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,珍贵货币，具有非常广大的用途,通过充值以及活动奖励获得,,,,
4,主动技能书,Cur_Askill,Cur_Askill_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,可用来学习主动技能,通过天梯赛、巅峰赛商店兑换获得,,,,
5,经验,Cur_Exp,Cur_Exp_s,5,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,可供人物升级,通过各类副本和任务获得,,,,
6,强化石,Cur_Strongstone,Cur_Strongstone_s,5,0,,,0,,,,,,109,,,,,,,,,,,,,,,,,,0.1,,,,,,,可用来强化装备,主要通过守卫地牢获得,,,,
7,天梯赛荣誉,Cur_Ladderhoner,Cur_Ladderhoner_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,可在兑换商店兑换各类道具,通过天梯赛获得,,,,
8,被动技能书,Cur_Pskill,Cur_Pskill_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,用来学习被动技能,通过兑换商店获得,,,,
9,武将经验书,Cur_expbook,Cur_expbook_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,可供武将升级,通过要塞、副本获得,,,,
10,声望,Cur_Camppre,Cur_Camppre_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,可在阵营商店兑换各类道具,通过各类阵营任务和活动获得,,,,
11,累计声望,Item_Equip_FG_060308,Item_Equip_FG_060308,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,巅峰奖章,Cur_Peakmedal,Cur_Peakmedal_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,可在兑换商店兑换各类道具,通过每日必做奖励、巅峰战场获得,,,,
13,军团贡献,Cur_Guidlcontri,Cur_Guidlcontri_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,可用于学习和升级军团技能,通过军团活动和元素本获得,,,,
14,活跃度,Item_Equip_FG_060308,Cur_Guidlcontri_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,武将勋章,Cur_herolottery,Cur_herolottery_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,可在武将酒馆中召唤武将,通过要塞抢夺获取,,,,
16,熔炼值,Cur_Equipmelt,Cur_Equipmelt_s,5,0,,,0,,,,,,109,,,,,,,,,,,,,,,,,,0.1,,,,,,,可用来打造装备,主要通过装备熔炼获得,,,,
17,翼之精华,Cur_wing_essence,Cur_wing_essence_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,翅膀培养所需材料,通过阵营战获得,,,,
18,天空之魂,Cur_wing_sky,Cur_wing_sky_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,翅膀进阶所需材料,通过军阶晋级获得,,,,
19,圣石,Cur_holystone,Cur_holystone_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,0.2,,,,,,,圣物吞噬、传承所需材料,通过分解圣物获得,,,,
20,坐骑魂石（后面改成坐骑单魂石，不用了）,Cur_Soulstone_s,Cur_Soulstone_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,坐骑进阶所需材料,通过获取多余坐骑自动分解获得,,,,
21,戒之灵,Cur_jiezhiling,Cur_jiezhiling_s,5,0,,,1,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,婚戒神造所需材料,通过情侣副本获得,,,,
22,装备精华,It_essence,It_essence,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,用于生活商城中的消耗货币,通过套装熔炉获得,,,,
24,高级武将勋章,Cur_herolottery_1,Cur_herolottery_1_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,可在武将酒馆免费进行一次钻石召唤,活动获得,,,,
47,良师值,Cur_teacher,Cur_teacher_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,可在良师值商店兑换道具,通过培养徒弟获得,,,,
48,噩梦积分,Cur_nightmare,Cur_nightmare_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,噩梦空间专用积分，可通过噩梦空间积分商店兑换道具和抽奖,通过噩梦空间获得,,,,
50,圣诞糖果,Cur_Guidlcontri,Cur_Guidlcontri_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,圣诞糖果，用于购买糖果商店的各种道具,,,,,
51,四叶草,Cur_clover,Cur_clover_s,5,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,用于幸运轮盘抽奖,,,,,
100,小型生命药水,It_hp_01,,2,0,1,,1,,,1,,,117,110,,,,[100],,5,,type,1,kind,1,,,,,10,,,101,,10,,,在8秒内恢复2000点生命值,野外掉落、药水商店购买,,,,
101,中型生命药水,It_hp_02,,2,0,1,,1,,,1,,,117,110,,,,[101],,5,,type,1,kind,2,,,,,20,,,101,,10,,,在8秒内恢复5000点生命值,野外掉落、药水商店购买,,,,
102,大型生命药水,It_hp_03,,2,0,1,,1,,,1,,,117,110,,,,[102],,5,,type,1,kind,3,,,,,30,,,101,,10,,,在8秒内恢复10000点生命值,野外掉落,,,,
103,魔法药水,It_mp_03,,2,0,1,,1,,,1,,,117,110,,,,[105],,5,,type,2,kind,1,,,,,10,,,102,,10,,,使用后立即恢复100点魔法值,野外掉落、药水商店购买,,,,
106,耐力药水,It_buff_cons_01,,2,0,,,1,,,1,,,117,110,,,,[3000101],,5,,type,3,kind,1,,,,,0,,,103,,10,,,在30分钟内增加50点耐力,野外掉落,,,,
107,力量药水,It_buff_stre_01,,2,0,,,1,,,1,,,117,110,,,,[3000201],,5,,type,4,kind,1,,,,,0,,,104,,10,,,在30分钟内增加50点力量,野外掉落,,,,
108,敏捷药水,It_buff_dext_01,,2,0,,,1,,,1,,,117,110,,,,[3000301],,5,,type,5,kind,1,,,,,0,,,105,,10,,,在30分钟内增加50点敏捷,野外掉落,,,,
109,智力药水,It_buff_inte_01,,2,0,,,1,,,1,,,117,110,,,,[3000401],,5,,type,6,kind,1,,,,,0,,,106,,10,,,在30分钟内增加50点智力,野外掉落,,,,
110,强效耐力药水,It_buff_cons_02,,2,0,,,1,,,1,,,117,110,,,,[3000102],,5,,type,3,kind,2,,,,,0,,,103,,10,,,在30分钟内增加100点耐力,可在神秘商店内的药水商店购买,,,,
111,强效力量药水,It_buff_stre_02,,2,0,,,1,,,1,,,117,110,,,,[3000202],,5,,type,4,kind,2,,,,,0,,,104,,10,,,在30分钟内增加100点力量,可在神秘商店内的药水商店购买,,,,
112,强效敏捷药水,It_buff_dext_02,,2,0,,,1,,,1,,,117,110,,,,[3000302],,5,,type,5,kind,2,,,,,0,,,105,,10,,,在30分钟内增加100点敏捷,可在神秘商店内的药水商店购买,,,,
113,强效智力药水,It_buff_inte_02,,2,0,,,1,,,1,,,117,110,,,,[3000402],,5,,type,6,kind,2,,,,,0,,,106,,10,,,在30分钟内增加100点智力,可在神秘商店内的药水商店购买,,,,
114,超大生命药水,It_hp_04,,2,0,1,,1,,,1,,,117,110,,,,[103],,5,,type,1,kind,3,,,,,30,,,101,,10,,,在8秒内恢复20000点生命值,野外掉落,,,,
115,神圣生命药水,It_hp_05,,2,0,1,,1,,,1,,,117,110,,,,[104],,5,,type,1,kind,3,,,,,30,,,101,,10,,,使用后立即恢复60%生命，10秒使用间隔,神秘空间掉落、药水商店购买,,,,
